
[WoodenStaff]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		WoodenStaff)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	0)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Staff)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	WitheredStaff)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	16)
	}
[end]

[WitheredStaff]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		WitheredStaff)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	1)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Staff)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	GnarledStaff)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	19)
	}
[end]

[GnarledStaff]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		GnarledStaff)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	2)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Staff)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	ElderStaff)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	22)
	}
[end]

[ElderStaff]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		ElderStaff)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	3)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Staff)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Nothing)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	25)
	}
[end]

[Rod]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		Rod)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	0)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Rod)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	PaleRod)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	16)
	}
[end]

[PaleRod]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		PaleRod)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	1)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Rod)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	DuskRod)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	19)
	}
[end]

[DuskRod]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		DuskRod)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	2)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Rod)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	AshenRod)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	22)
	}
[end]

[AshenRod]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		AshenRod)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	3)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Rod)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Nothing)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Nothing)
		(gold_value	25)
	}
[end]

[ShortSword]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		ShortSword)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	0)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Sword)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Broadsword)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Slashing)
		(damage_min_1	8)
		(damage_max_1	11)
		(gold_value	10)
	}
[end]

[Broadsword]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		Broadsword)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	1)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Sword)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Longsword)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Slashing)
		(damage_min_1	9)
		(damage_max_1	12)
		(gold_value	12)
	}
[end]

[Longsword]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		Longsword)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	2)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Sword)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	WarSword)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Slashing)
		(damage_min_1	10)
		(damage_max_1	13)
		(gold_value	15)
	}
[end]

[WarSword]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		WarSword)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	3)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Sword)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Nothing)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Slashing)
		(damage_min_1	11)
		(damage_max_1	14)
		(gold_value	18)
	}
[end]

[HandAxe]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		HandAxe)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	0)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Axe)
		(equip_type		Equipment_RightHand)
		(enchant_equipment	Enchant_Weapon)
		(upgrade_equipment	Upgrade_Weapon)
		(enchant_type	EN_WeaponLevel)
		(upgrade_type	RightHandLevel)
		(upgrade_increase	Axe)
		(Update_1			Display_Total_Attack_Damage)
		(function_effect_1	Nothing)
		(effect_type_1	Nothing)
		(damage_type_1	Slashing)
		(damage_min_1	9)
		(damage_max_1	10)
		(gold_value	10)
	}
[end]

[Axe]
	{Equipment
		(type 		Equipment)
		(subtype 		Weapon)
		(Title		Axe)
		(BirthScript	Equipment_Item_Birth)
		(TransferScript Basic_Equipment_Transfer)
		(armor_struct	false)
		(weapon_struct	true)
		(owned	false)
		(upgrade_level	1)
		(enchant_level	0)
		(class	Equipment)
		(subclass	Axe)
		(equip_type		Equipment_RightHand)
